Size,Split Size,Sequence Total Time,Sequence Average Time,Sequence Min Time,Sequence Max Time,Sequence Standard Deviation,Thread Total Time,Thread Average Time,Thread Min Time,Thread Max Time,Thread Standard Deviation,Proc Total Time,Proc Average Time,Proc Min Time,Proc Max Time,Proc Standard Deviation
10,225,12,0,0,1,0,1484,14,13,78,6,11786,116,109,197,14
20,225,10,0,0,1,0,1416,14,13,17,0,11515,114,108,163,9
30,225,13,0,0,1,0,1413,14,13,17,0,11531,114,108,189,9
40,225,13,0,0,1,0,1476,14,13,74,6,11621,115,108,190,11
50,225,14,0,0,1,0,1470,14,13,50,4,11768,117,109,195,14
60,225,15,0,0,1,0,1431,14,13,21,1,11614,115,109,194,11
70,225,17,0,0,1,0,1420,14,13,17,0,11531,115,108,204,11
80,225,17,0,0,1,0,1422,14,13,19,0,11619,115,108,224,13
90,225,18,0,0,1,0,1569,15,13,100,9,12264,121,110,215,15
100,225,22,0,0,1,0,1419,14,13,19,0,12187,120,109,189,14
110,225,24,0,0,1,0,1445,14,13,44,3,11629,115,108,182,10
120,225,23,0,0,1,0,1463,14,13,48,3,12058,119,109,188,13
130,225,25,0,0,1,0,1497,14,13,99,8,11460,114,109,192,9
140,225,26,0,0,1,0,1418,14,13,18,0,11469,114,108,188,8
150,225,26,0,0,1,0,1650,16,13,70,8,11386,113,109,198,8
160,225,29,0,0,1,0,1423,14,13,20,0,11362,113,109,189,8
170,225,28,0,0,1,0,1413,14,13,16,0,11535,114,109,204,9
180,225,26,0,0,1,0,1484,14,13,77,6,13828,136,110,272,40
190,225,30,0,0,1,0,1443,14,13,30,2,11875,117,110,171,10
200,225,36,0,0,1,0,1430,14,13,25,1,11504,114,110,136,5
210,225,33,0,0,1,0,1494,14,13,76,6,11834,117,109,171,11
220,225,41,0,0,6,0,1417,14,13,16,0,12135,120,109,175,13
230,225,36,0,0,1,0,1819,18,15,75,5,14851,148,140,269,15
240,225,36,0,0,1,0,1775,17,15,23,1,14532,145,140,218,9
250,225,37,0,0,1,0,1844,18,15,89,7,15184,151,140,229,16
260,225,36,0,0,1,0,1873,18,15,92,7,14992,148,143,198,7
270,225,35,0,0,1,0,1811,18,15,22,1,15015,149,143,202,8
280,225,36,0,0,1,0,1896,18,15,33,3,14936,148,142,190,5
290,225,39,0,0,1,0,2305,22,15,121,14,14932,148,139,185,6
300,225,41,0,0,1,0,2045,20,15,102,10,15912,158,140,277,24
