*******************************************************
Search Testing Application
        Mode: process
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=20)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n       ns      total   average min     max     stdev
10      20      13463   133     111     338     30
20      20      11853   117     113     139     4
30      20      15742   156     145     258     18
40      20      15256   151     145     227     11
50      20      18621   185     175     239     12
60      20      18482   184     176     244     11
70      20      22878   228     211     343     17
80      20      24412   243     211     363     26
90      20      27620   274     249     364     18
100     20      28075   279     247     345     25
110     20      32591   324     296     433     25
120     20      32489   324     293     420     21
130     20      36745   366     320     469     25
140     20      36934   368     322     470     29
150     20      40279   401     353     523     27
160     20      40234   401     353     514     28
170     20      45831   456     391     644     43
180     20      47642   475     401     606     44
190     20      52577   524     439     700     51
200     20      51800   516     430     747     63
210     20      55823   556     479     719     50
220     20      55898   557     480     765     51
230     20      59655   595     495     817     62
240     20      59703   595     503     766     53
250     20      68319   681     541     923     96
260     20      80335   802     700     964     54
270     20      82861   826     721     982     54
280     20      84134   839     608     1034    76
290     20      81683   815     620     993     66
300     20      70273   701     601     1004    84
310     20      73238   731     633     1002    75
320     20      77763   776     647     1022    86
330     20      88375   882     684     1137    106
340     20      81025   808     679     1160    119
350     20      83198   830     714     1128    87
360     20      80765   806     715     957     61
370     20      85807   856     752     1244    90
380     20      83785   836     758     1091    75
390     20      88205   880     796     1069    65
400     20      89939   897     793     1442    94
410     20      92848   927     833     1154    64
420     20      92952   927     843     1118    62
430     20      98856   987     876     1390    113
440     20      96270   961     874     1280    77
450     20      100858  1007    910     1363    98
460     20      101398  1012    917     1282    84
470     20      119659  1195    949     1882    166
480     20      103625  1034    963     1288    60
490     20      118291  1181    1001    1652    155
500     20      153459  1532    1241    1808    104
510     20      114850  1146    1041    1651    126
520     20      111626  1114    1046    1377    65
530     20      130227  1300    1084    1671    185
540     20      128082  1279    1095    1714    176
550     20      121548  1214    1128    1838    92
560     20      122598  1224    1133    1742    119
570     20      125542  1254    1172    1553    72
580     20      127145  1269    1176    1638    88
590     20      132292  1321    1222    1812    99
600     20      131123  1309    1225    1503    63
610     20      138513  1383    1266    1861    127
620     20      138810  1386    1269    1839    119
630     20      142038  1418    1314    1994    119
640     20      168896  1687    1316    2161    247
650     20      171471  1713    1372    2239    226
660     20      157516  1573    1378    2045    202
670     20      158280  1581    1418    2085    154
680     20      155483  1553    1435    2007    124
690     20      156681  1565    1477    2142    91
700     20      165916  1657    1473    2209    201
710     20      164211  1640    1527    2151    115
720     20      162541  1623    1519    1914    75
730     20      167558  1674    1580    2129    88
740     20      169302  1691    1583    2489    132
750     20      187013  1868    1657    2562    247
760     20      232915  2327    1856    2727    145
770     20      196918  1967    1701    2689    245
780     20      182439  1822    1700    2518    139
790     20      196604  1964    1757    2756    206
800     20      203776  2036    1765    2454    190
810     20      195294  1951    1815    2504    125
820     20      201124  2009    1843    2614    170
830     20      213328  2131    1879    2836    217
840     20      209942  2097    1891    2964    213
850     20      263861  2636    2017    3521    252
860     20      208514  2083    1943    2453    134
870     20      223692  2235    2007    2900    177
880     20      222058  2218    2021    2892    197
890     20      233913  2337    2054    2914    216
900     20      234254  2341    2060    2794    206
910     20      238941  2387    2131    3325    222
920     20      242804  2426    2129    3287    232
930     20      238195  2380    2203    3235    182
940     20      239380  2392    2198    3534    216
950     20      248071  2479    2254    3352    220
960     20      246731  2465    2268    3271    160
970     20      260910  2606    2353    3214    199
980     20      274595  2744    2367    3270    174
990     20      316173  3159    2496    3734    235
1000    20      266988  2668    2409    3631    304

*******************************************************

Test 3: Trend Analysis - Varying Splits
n       ns      total   average min     max     stdev
1000    10      557335  5571    4955    6437    279
1000    20      277406  2772    2453    3659    294
1000    30      213922  2137    1669    2480    202
1000    40      136395  1362    1252    1766    104
1000    50      110962  1108    1025    1486    85
1000    60      96521   963     882     1211    84
1000    70      91182   910     789     1505    157
1000    80      75411   752     691     1012    65
1000    90      70680   705     648     850     51
1000    100     62258   621     556     869     63
1000    110     58227   581     556     784     34
1000    120     57900   577     511     658     35
1000    130     53859   537     479     674     39
1000    140     52274   522     468     621     28
1000    150     47913   478     422     593     39
1000    160     46954   468     417     736     52
1000    170     42980   428     372     534     29
1000    180     42273   421     371     541     33
1000    190     41678   415     373     534     38
1000    200     36013   359     320     651     45
1000    210     35750   356     321     486     36
1000    220     35440   354     326     435     28
1000    230     36392   363     325     516     43
1000    240     35703   355     325     460     32
1000    250     29117   289     273     393     18
