earch Testing Application
        Mode: process
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=40)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n       ns      total   average min     max     stdev
10      40      11656   116     109     172     10
20      40      11448   114     107     144     8
30      40      11249   112     108     136     5
40      40      11363   113     108     143     7
50      40      15215   150     142     238     14
60      40      14816   147     141     202     6
70      40      14960   148     141     221     11
80      40      14926   148     141     253     13
90      40      18433   183     174     245     14
100     40      18146   181     172     251     11
110     40      18206   181     174     280     13
120     40      18629   186     173     250     14
130     40      27979   277     216     588     76
140     40      27565   274     229     1116    92
150     40      29419   292     227     1896    169
160     40      26408   263     230     328     14
170     40      31237   311     282     468     33
180     40      33289   332     291     995     78
190     40      30448   304     256     1044    83
200     40      29398   293     250     413     21
210     40      34380   343     305     471     25
220     40      43008   428     308     2900    305
230     40      31831   317     281     387     20
240     40      31924   318     289     404     21
250     40      38479   383     315     483     36
260     40      42119   419     345     543     35
270     40      39784   396     317     508     41
280     40      40139   400     316     552     49
290     40      46938   468     354     583     46
300     40      47988   478     412     598     30
310     40      47086   470     382     581     41
320     40      48241   481     395     613     32
330     40      54020   538     452     659     33
340     40      47250   470     410     634     48
350     40      51378   513     409     624     53
360     40      51907   518     413     635     50
370     40      55015   548     435     667     57
380     40      49459   493     445     648     46
390     40      50373   502     443     659     51
400     40      49894   497     441     626     43
410     40      54668   545     456     686     55
420     40      54256   541     470     703     49
430     40      66960   667     580     890     63
440     40      65684   655     508     810     62
450     40      65379   652     545     745     26
460     40      59597   594     494     771     72
470     40      53897   537     494     670     38
480     40      55076   549     494     748     46
490     40      60509   602     524     782     52
500     40      61704   615     531     852     60
510     40      61245   611     535     783     57
520     40      61543   614     531     783     53
530     40      64587   644     571     811     53
540     40      65021   649     569     843     54
550     40      65313   651     572     810     58
560     40      65283   651     570     858     57
570     40      67763   676     606     923     66
580     40      67220   671     611     801     49
590     40      73931   738     612     956     93
600     40      72515   722     624     1063    73
610     40      78790   786     656     997     84
620     40      82348   822     653     1036    85
630     40      79574   794     647     985     89
640     40      82250   821     654     1015    85
650     40      85303   851     698     1089    90
660     40      79578   794     694     1009    69
670     40      81250   810     689     1102    95
680     40      89328   891     716     1069    71
690     40      90694   905     731     1102    98
700     40      82440   822     733     1095    76
710     40      82281   821     744     1138    76
720     40      106394  1062    743     1297    130
730     40      107106  1069    866     1297    86
740     40      112107  1119    784     1340    141
750     40      85283   851     776     1062    59
760     40      87139   869     777     1139    79
770     40      90374   901     814     1112    70
780     40      102203  1019    824     1296    135
790     40      103073  1029    827     1279    130
800     40      91676   915     826     1279    91
810     40      93335   932     865     1214    63
820     40      93635   935     862     1112    56
830     40      93816   936     869     1263    65
840     40      94561   944     869     1112    53
850     40      98482   983     909     1171    57
860     40      98470   983     906     1326    73
870     40      97993   978     911     1199    59
880     40      98502   983     913     1157    56
890     40      103941  1038    956     1252    72
900     40      102911  1027    954     1310    69
910     40      103158  1030    954     1281    63
920     40      102552  1023    964     1352    65
930     40      136013  1358    1002    1661    220
940     40      139756  1395    1082    1895    119
950     40      117149  1169    1007    1623    197
960     40      108026  1079    1011    1262    55
970     40      111762  1116    1056    1319    59
980     40      111342  1110    1058    1321    49
990     40      113094  1129    1056    1402    68
1000    40      111895  1117    1060    1308    51

*******************************************************

Test 3: Trend Analysis - Varying Splits
n       ns      total   average min     max     stdev
1000    10      448768  4485    4324    5231    168
1000    20      236315  2361    2139    2924    240
1000    30      197810  1976    1644    2414    193
1000    40      136567  1364    1093    1810    194
1000    50      100500  1003    891     1459    116
1000    60      89362   892     764     1101    84
1000    70      82460   823     691     1036    67
1000    80      69066   689     607     850     70
1000    90      68556   684     593     815     50
1000    100     55298   552     488     691     43
1000    110     54862   547     494     650     31
1000    120     52370   522     456     653     32
1000    130     44812   447     408     564     32
1000    140     42527   424     405     530     26
1000    150     37952   378     362     479     19
1000    160     39627   394     364     473     28
1000    170     36915   369     327     489     34
1000    180     37778   377     332     513     35
1000    190     39020   388     328     583     43
1000    200     31986   318     288     450     29
1000    210     32194   320     288     456     35
1000    220     31691   316     289     415     28
1000    230     32767   327     289     479     38
1000    240     31716   316     290     435     30
1000    250     27146   271     246     371     27
