Size,Split Size,Sequence Total Time,Sequence Average Time,Sequence Min Time,Sequence Max Time,Sequence Standard Deviation,Thread Total Time,Thread Average Time,Thread Min Time,Thread Max Time,Thread Standard Deviation,Proc Total Time,Proc Average Time,Proc Min Time,Proc Max Time,Proc Standard Deviation
5000,10,493,4,0,21,3,659514,6594,6433,6984,81,533538,15987,15598,16694,100015
5000,20,428,4,0,9,2,304741,3047,2983,3166,33,872169,8719,8346,9870,336
5000,30,467,4,0,9,2,197180,1971,1879,2063,34,612837,6120,5854,7158,238
5000,40,462,4,0,9,2,145678,1456,1373,1634,43,474462,4742,4558,5814,207
5000,50,473,4,0,9,2,111321,1113,1078,1229,22,380184,3799,3657,4427,144
5000,60,432,4,0,22,3,92568,925,894,1068,23,326489,3262,3150,3578,59
5000,70,388,3,0,9,2,79425,794,758,944,28,275964,2757,2667,2856,42
5000,80,455,4,0,9,2,68136,681,656,775,21,242896,2427,2349,2528,38
5000,90,443,4,0,9,2,59751,597,570,721,24,221741,2215,2093,2312,43
5000,100,465,4,0,9,2,53356,533,511,680,21,195162,1949,1885,2049,39
5000,110,491,4,0,9,2,48613,485,468,553,15,180755,1805,1731,2104,57
5000,120,446,4,0,9,2,44415,444,425,539,21,165077,1648,1576,1866,54
5000,130,424,4,0,9,2,41216,412,394,504,19,154430,1541,1469,1781,51
5000,140,491,4,0,23,3,38036,380,361,475,20,143952,1437,1373,1708,50
5000,150,529,5,0,24,4,35832,358,340,491,23,141405,1412,1316,1578,54
5000,160,475,4,0,9,2,33434,334,320,405,14,131388,1311,1263,1405,36
5000,170,467,4,0,9,2,31090,310,295,374,13,121692,1215,1164,1314,38
5000,180,370,3,0,9,2,29187,291,274,398,20,113552,1133,1097,1258,35
5000,190,422,4,0,9,2,28124,281,264,364,15,110240,1099,1064,1208,34
5000,200,447,4,0,9,2,26608,265,246,640,42,102756,1025,990,1149,38
5000,210,461,4,0,9,2,24545,245,229,339,18,98982,987,954,1096,32
5000,220,448,4,0,9,2,23220,232,218,318,15,96175,959,920,1056,32
5000,230,447,4,0,9,2,22425,224,210,318,16,93978,938,900,1047,34
5000,240,408,4,0,9,2,20990,209,201,300,13,90660,904,868,979,29
5000,250,412,4,0,9,2,20177,201,189,301,13,86863,866,831,953,31
