Test 3: Trend Analysis - Varying Splits
n       ns      total   average min     max     stdev
5000    10      533538  15987    15598 16694   100015
5000    20      872169  8719    8346    9870    336
5000    30      612837  6120    5854    7158    238
5000    40      474462  4742    4558    5814    207
5000    50      380184  3799    3657    4427    144
5000    60      326489  3262    3150    3578    59
5000    70      275964  2757    2667    2856    42
5000    80      242896  2427    2349    2528    38
5000    90      221741  2215    2093    2312    43
5000    100     195162  1949    1885    2049    39
5000    110     180755  1805    1731    2104    57
5000    120     165077  1648    1576    1866    54
5000    130     154430  1541    1469    1781    51
5000    140     143952  1437    1373    1708    50
5000    150     141405  1412    1316    1578    54
5000    160     131388  1311    1263    1405    36
5000    170     121692  1215    1164    1314    38
5000    180     113552  1133    1097    1258    35
5000    190     110240  1099    1064    1208    34
5000    200     102756  1025    990     1149    38
5000    210     98982   987     954     1096    32
5000    220     96175   959     920     1056    32
5000    230     93978   938     900     1047    34
5000    240     90660   904     868     979     29
5000    250     86863   866     831     953     31
