Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
100	10	5	0	0	1	0
100	20	6	0	0	1	0
100	30	5	0	0	1	0
100	40	5	0	0	1	0
100	50	5	0	0	1	0
100	60	5	0	0	1	0
100	70	5	0	0	1	0
100	80	6	0	0	1	0
100	90	5	0	0	1	0
100	100	5	0	0	1	0
100	110	6	0	0	1	0
100	120	5	0	0	0	0
100	130	6	0	0	1	0
100	140	5	0	0	1	0
100	150	5	0	0	1	0
100	160	6	0	0	1	0
100	170	6	0	0	1	0
100	180	6	0	0	1	0
100	190	6	0	0	1	0
100	200	6	0	0	1	0
100	210	6	0	0	1	0
100	220	5	0	0	1	0
100	230	5	0	0	1	0
100	240	6	0	0	1	0
100	250	7	0	0	1	0
