*******************************************************
Search Testing Application
	Mode: sequential
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=100)-->

*******************************************************

Test 2: Trend Analysis - Varying Size
n	ns	total	average	min	max	stdev

*******************************************************

Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
1000	10	93	0	0	2	1
1000	20	101	0	0	2	1
1000	30	98	0	0	2	1
1000	40	88	0	0	2	1
1000	50	96	0	0	2	1
1000	60	90	0	0	2	1
1000	70	141	1	0	24	2
1000	80	97	0	0	2	1
1000	90	95	0	0	2	1
1000	100	95	0	0	2	1
1000	110	102	0	0	2	1
1000	120	98	0	0	2	1
1000	130	101	0	0	2	1
1000	140	100	0	0	2	1
1000	150	93	0	0	2	1
1000	160	94	0	0	2	1
1000	170	133	1	0	25	2
1000	180	99	0	0	2	1
1000	190	92	0	0	2	1
1000	200	92	0	0	2	1
1000	210	104	1	0	2	0
1000	220	101	0	0	2	1
1000	230	89	0	0	2	1
1000	240	91	0	0	2	1
1000	250	98	0	0	2	1
