*******************************************************
Search Testing Application
	Mode: sequential
*******************************************************

Test 1: Functionality Verification
    --(n=10000, ns=10)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n	ns	total	average	min	max	stdev
10	10	6	0	0	1	0
20	10	7	0	0	1	0
30	10	9	0	0	1	0
40	10	8	0	0	1	0
50	10	9	0	0	1	0
60	10	10	0	0	1	0
70	10	11	0	0	1	0
80	10	12	0	0	1	0
90	10	12	0	0	1	0
100	10	13	0	0	1	0
110	10	14	0	0	1	0
120	10	15	0	0	1	0
130	10	17	0	0	1	0
140	10	17	0	0	1	0
150	10	19	0	0	1	0
160	10	18	0	0	1	0
170	10	19	0	0	1	0
180	10	20	0	0	1	0
190	10	23	0	0	1	0
200	10	22	0	0	1	0
210	10	22	0	0	1	0
220	10	24	0	0	1	0
230	10	24	0	0	1	0
240	10	25	0	0	1	0
250	10	28	0	0	1	0
260	10	27	0	0	1	0
270	10	28	0	0	1	0
280	10	30	0	0	2	0
290	10	29	0	0	1	0
300	10	32	0	0	1	0
310	10	32	0	0	1	0
320	10	36	0	0	1	0
330	10	33	0	0	1	0
340	10	35	0	0	1	0
350	10	35	0	0	1	0
360	10	33	0	0	1	0
370	10	37	0	0	1	0
380	10	37	0	0	1	0
390	10	39	0	0	1	0
400	10	38	0	0	1	0
410	10	41	0	0	1	0
420	10	43	0	0	1	0
430	10	43	0	0	1	0
440	10	44	0	0	1	0
450	10	41	0	0	1	0
460	10	42	0	0	1	0
470	10	45	0	0	1	0
480	10	46	0	0	1	0
490	10	45	0	0	1	0
500	10	46	0	0	1	0
510	10	52	0	0	2	0
520	10	53	0	0	1	0
530	10	49	0	0	1	0
540	10	53	0	0	1	0
550	10	57	0	0	1	0
560	10	49	0	0	1	0
570	10	55	0	0	1	0
580	10	56	0	0	1	0
590	10	53	0	0	1	0
600	10	51	0	0	1	0
610	10	58	0	0	1	0
620	10	57	0	0	1	0
630	10	61	0	0	1	0
640	10	62	0	0	1	0
650	10	64	0	0	1	0
660	10	67	0	0	5	0
670	10	65	0	0	3	0
680	10	59	0	0	2	0
690	10	62	0	0	2	0
700	10	63	0	0	2	0
710	10	67	0	0	2	0
720	10	70	0	0	2	0
730	10	70	0	0	2	0
740	10	67	0	0	2	0
750	10	69	0	0	2	0
760	10	67	0	0	2	0
770	10	69	0	0	2	0
780	10	72	0	0	2	0
790	10	68	0	0	2	0
800	10	73	0	0	2	0
810	10	76	0	0	3	0
820	10	73	0	0	2	0
830	10	77	0	0	2	0
840	10	77	0	0	2	0
850	10	77	0	0	2	0
860	10	83	0	0	2	0
870	10	89	0	0	2	1
880	10	76	0	0	2	0
890	10	77	0	0	2	0
900	10	82	0	0	2	1
910	10	86	0	0	2	1
920	10	91	0	0	2	1
930	10	87	0	0	2	1
940	10	85	0	0	2	1
950	10	89	0	0	2	1
960	10	89	0	0	2	1
970	10	93	0	0	2	1
980	10	89	0	0	2	1
990	10	89	0	0	2	1
1000	10	94	0	0	2	1

*******************************************************

Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
10000	10	904	8	0	17	5
10000	20	865	8	0	17	5
10000	30	928	9	0	16	4
10000	40	852	8	0	18	5
10000	50	897	8	1	18	4
10000	60	894	8	0	18	4
10000	70	880	8	0	18	5
10000	80	973	9	0	18	4
10000	90	883	8	0	17	5
10000	100	937	9	0	18	4
10000	110	761	7	0	17	4
10000	120	918	9	0	27	5
10000	130	837	8	0	17	5
10000	140	907	9	0	23	5
10000	150	893	8	0	17	4
10000	160	874	8	0	17	4
10000	170	891	8	0	17	5
10000	180	815	8	0	17	5
10000	190	884	8	0	19	4
10000	200	793	7	0	17	4
10000	210	869	8	0	18	5
10000	220	857	8	0	18	4
10000	230	857	8	0	17	4
10000	240	873	8	0	17	5
10000	250	840	8	0	18	4
