Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
2000	10	172	1	0	4	1
2000	20	178	1	0	4	1
2000	30	169	1	0	4	1
2000	40	171	1	0	4	1
2000	50	188	1	0	4	1
2000	60	176	1	0	4	1
2000	70	175	1	0	4	1
2000	80	175	1	0	4	1
2000	90	192	1	0	4	1
2000	100	174	1	0	4	1
2000	110	185	1	0	5	1
2000	120	182	1	0	4	1
2000	130	185	1	0	4	1
2000	140	208	2	0	16	2
2000	150	183	1	0	4	1
2000	160	182	1	0	4	1
2000	170	181	1	0	4	1
2000	180	195	1	0	4	1
2000	190	188	1	0	4	1
2000	200	175	1	0	4	1
2000	210	182	1	0	4	1
2000	220	191	1	0	4	1
2000	230	195	1	0	4	1
2000	240	182	1	0	4	1
2000	250	174	1	0	4	1
