*******************************************************
Search Testing Application
	Mode: sequential
*******************************************************

Test 1: Functionality Verification
    --(n=20000, ns=10)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n	ns	total	average	min	max	stdev
10	10	6	0	0	1	0
20	10	6	0	0	1	0
30	10	7	0	0	1	0
40	10	8	0	0	1	0
50	10	10	0	0	1	0
60	10	10	0	0	1	0
70	10	11	0	0	1	0
80	10	11	0	0	1	0
90	10	12	0	0	1	0
100	10	13	0	0	1	0
110	10	13	0	0	1	0
120	10	15	0	0	1	0
130	10	15	0	0	1	0
140	10	17	0	0	1	0
150	10	19	0	0	1	0
160	10	19	0	0	1	0
170	10	19	0	0	1	0
180	10	20	0	0	1	0
190	10	19	0	0	1	0
200	10	22	0	0	1	0
210	10	24	0	0	1	0
220	10	22	0	0	1	0
230	10	25	0	0	1	0
240	10	25	0	0	1	0
250	10	28	0	0	1	0
260	10	27	0	0	1	0
270	10	29	0	0	1	0
280	10	29	0	0	1	0
290	10	31	0	0	1	0
300	10	31	0	0	1	0
310	10	32	0	0	1	0
320	10	33	0	0	1	0
330	10	36	0	0	1	0
340	10	35	0	0	1	0
350	10	36	0	0	1	0
360	10	35	0	0	1	0
370	10	38	0	0	1	0
380	10	40	0	0	1	0
390	10	36	0	0	1	0
400	10	41	0	0	1	0
410	10	39	0	0	2	0
420	10	42	0	0	1	0
430	10	40	0	0	1	0
440	10	44	0	0	1	0
450	10	47	0	0	1	0
460	10	45	0	0	1	0
470	10	46	0	0	1	0
480	10	64	0	0	16	1
490	10	63	0	0	14	1
500	10	48	0	0	1	0
510	10	48	0	0	1	0
520	10	49	0	0	1	0
530	10	54	0	0	1	0
540	10	52	0	0	1	0
550	10	51	0	0	1	0
560	10	53	0	0	1	0
570	10	53	0	0	1	0
580	10	54	0	0	1	0
590	10	86	0	0	16	2
600	10	57	0	0	1	0
610	10	55	0	0	1	0
620	10	62	0	0	1	0
630	10	59	0	0	1	0
640	10	66	0	0	2	0
650	10	63	0	0	2	0
660	10	64	0	0	1	0
670	10	70	0	0	2	0
680	10	67	0	0	2	0
690	10	63	0	0	2	0
700	10	66	0	0	2	0
710	10	63	0	0	2	0
720	10	68	0	0	2	0
730	10	104	1	0	16	2
740	10	72	0	0	2	0
750	10	67	0	0	2	0
760	10	73	0	0	2	0
770	10	66	0	0	2	0
780	10	66	0	0	2	0
790	10	70	0	0	2	0
800	10	78	0	0	2	0
810	10	71	0	0	2	0
820	10	76	0	0	2	0
830	10	79	0	0	2	0
840	10	77	0	0	2	0
850	10	110	1	0	16	2
860	10	76	0	0	2	0
870	10	85	0	0	2	1
880	10	77	0	0	2	0
890	10	75	0	0	2	0
900	10	80	0	0	2	1
910	10	83	0	0	2	1
920	10	81	0	0	2	1
930	10	88	0	0	2	1
940	10	85	0	0	2	1
950	10	120	1	0	16	1
960	10	90	0	0	2	1
970	10	86	0	0	2	1
980	10	93	0	0	2	1
990	10	92	0	0	2	1
1000	10	91	0	0	2	1

*******************************************************

Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
20000	10	1682	16	0	51	10
20000	20	1812	18	0	49	9
20000	30	1828	18	1	66	10
20000	40	1778	17	0	35	9
20000	50	1934	19	0	34	9
20000	60	1802	18	1	35	10
20000	70	1638	16	0	34	10
20000	80	1571	15	0	35	9
20000	90	1631	16	0	35	10
20000	100	1632	16	1	34	10
20000	110	1760	17	0	35	9
20000	120	1774	17	0	48	11
20000	130	1669	16	1	35	9
20000	140	1889	18	0	39	10
20000	150	1719	17	0	35	10
20000	160	1826	18	1	35	10
20000	170	1880	18	1	46	11
20000	180	1726	17	0	34	9
20000	190	1726	17	0	35	9
20000	200	1783	17	1	34	10
20000	210	1488	14	0	35	10
20000	220	1847	18	0	48	11
20000	230	1789	17	0	35	9
20000	240	1788	17	1	35	9
20000	250	1556	15	0	35	9
