*******************************************************
Search Testing Application
	Mode: thread
*******************************************************

Test 1: Functionality Verification
    --(n=100, ns=10)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n	ns	total	average	min	max	stdev
10	10	1212	12	11	21	1
20	10	1755	17	14	80	8
30	10	2095	20	19	57	5
40	10	2857	28	23	101	12
50	10	4795	47	39	152	14
60	10	5664	56	48	115	7
70	10	6918	69	59	123	6
80	10	7849	78	71	96	4
90	10	8992	89	79	167	11
100	10	10117	101	93	153	7
110	10	11108	111	103	180	9
120	10	12274	122	112	176	10
130	10	13383	133	121	244	15
140	10	14378	143	128	243	14
150	10	15703	156	144	251	17
160	10	16437	164	154	212	7
170	10	17385	173	160	226	11
180	10	18595	185	175	249	11
190	10	19362	193	179	321	18
200	10	20420	204	191	315	19
210	10	21824	218	201	300	18
220	10	22881	228	214	306	13
230	10	24042	240	221	401	24
240	10	24567	245	232	350	16
250	10	25519	255	241	330	12
260	10	26611	266	253	304	10
270	10	27658	276	261	361	14
280	10	29194	291	277	385	16
290	10	29993	299	282	359	12
300	10	31331	313	294	456	23
310	10	32189	321	306	407	16
320	10	33340	333	317	429	17
330	10	34868	348	327	455	22
340	10	35658	356	337	523	23
350	10	36622	366	349	464	19
360	10	38096	380	361	492	21
370	10	38817	388	371	483	18
380	10	40143	401	380	493	22
390	10	40774	407	387	511	18
400	10	41935	419	398	560	20
410	10	42987	429	412	509	19
420	10	44132	441	422	501	14
430	10	45640	456	434	612	26
440	10	47093	470	447	601	22
450	10	47749	477	457	596	25
460	10	48797	487	462	584	22
470	10	49701	496	477	658	24
480	10	50335	503	483	580	15
490	10	51522	515	492	598	19
500	10	53060	530	511	654	23
510	10	54418	544	521	646	20
520	10	55433	554	529	666	24
530	10	56274	562	541	685	21
540	10	57237	572	551	674	16
550	10	58639	586	562	711	24
560	10	59909	598	576	679	18
570	10	60778	607	584	696	18
580	10	62500	624	597	859	29
590	10	63226	632	606	741	22
600	10	64280	642	619	759	23
610	10	65412	653	633	764	18
620	10	67118	671	642	747	19
630	10	69822	698	666	840	25
640	10	70406	703	672	853	23
650	10	70857	708	676	936	30
660	10	71909	718	695	813	20
670	10	73001	729	698	832	18
680	10	73968	739	715	866	22
690	10	75232	752	724	870	23
700	10	76197	761	737	867	19
710	10	77230	772	749	879	22
720	10	78715	786	756	896	22
730	10	79549	795	767	904	19
740	10	81942	819	776	1129	43
750	10	81533	815	789	898	19
760	10	82929	829	795	932	24
770	10	84133	841	809	960	22
780	10	85540	855	821	938	22
790	10	86470	864	835	1002	20
800	10	87896	878	840	978	20
810	10	88874	888	853	1000	22
820	10	90666	906	878	1009	22
830	10	93597	935	897	1013	20
840	10	95168	951	913	1068	26
850	10	96011	960	923	1064	25
860	10	97553	975	931	1065	25
870	10	100151	1001	963	1196	32
880	10	99536	995	960	1154	26
890	10	100179	1001	970	1081	17
900	10	102287	1022	989	1146	22
910	10	104753	1047	1005	1194	30
920	10	105119	1051	1011	1151	22
930	10	106004	1059	1024	1134	22
940	10	107411	1074	1043	1236	25
950	10	108324	1083	1053	1154	19
960	10	110406	1103	1061	1186	19
970	10	111336	1113	1067	1351	32
980	10	111772	1117	1069	1317	31
990	10	110070	1100	1062	1225	24
1000	10	111133	1111	1073	1174	19

*******************************************************

Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
100	10	9523	95	88	120	5
100	20	3973	39	33	76	7
100	30	2177	21	18	28	1
100	40	1864	18	15	25	2
100	50	1489	14	12	21	1
100	60	1538	15	12	46	3
100	70	1602	15	11	45	5
100	80	1663	16	12	75	8
100	90	1851	18	12	53	9
100	100	1237	12	10	45	5
100	110	1111	11	10	13	0
100	120	1118	11	10	14	0
100	130	1210	12	10	67	6
100	140	1111	11	10	14	0
100	150	1112	11	10	14	0
100	160	1176	11	10	74	6
100	170	1228	12	10	74	7
100	180	1119	11	10	14	0
100	190	1210	12	10	60	6
100	200	1111	11	10	14	0
100	210	1109	11	10	15	0
100	220	1226	12	10	127	11
100	230	1111	11	10	13	0
100	240	1145	11	10	46	3
100	250	1198	11	10	76	6
