*******************************************************
Search Testing Application
	Mode: thread
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=100)-->

*******************************************************

Test 2: Trend Analysis - Varying Size
n	ns	total	average	min	max	stdev

*******************************************************

Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
1000	10	114175	1141	1098	1280	30
1000	20	53116	531	512	616	15
1000	30	35390	353	338	425	14
1000	40	25401	253	239	342	13
1000	50	20376	203	192	347	19
1000	60	17020	170	160	271	13
1000	70	14643	146	137	231	11
1000	80	12634	126	116	176	9
1000	90	11553	115	105	204	13
1000	100	9421	94	84	152	8
1000	110	9392	93	85	222	14
1000	120	8105	80	74	141	9
1000	130	7074	70	64	143	8
1000	140	7115	71	64	85	4
1000	150	6062	60	55	155	10
1000	160	6173	61	54	137	11
1000	170	4710	47	42	142	13
1000	180	4629	46	42	119	9
1000	190	4616	46	42	118	7
1000	200	3850	38	34	78	6
1000	210	3910	39	34	150	12
1000	220	3771	37	34	105	7
1000	230	3761	37	34	104	7
1000	240	3822	38	34	97	7
1000	250	2335	23	19	128	10
