*******************************************************
Search Testing Application
	Mode: thread
*******************************************************

Test 1: Functionality Verification
    --(n=10000, ns=10)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n	ns	total	average	min	max	stdev
10	10	1415	14	10	50	9
20	10	2015	20	14	72	12
30	10	1873	18	17	61	4
40	10	2389	23	18	64	8
50	10	4011	40	33	108	9
60	10	4983	49	43	207	17
70	10	6226	62	55	134	8
80	10	7321	73	63	134	10
90	10	8221	82	75	131	6
100	10	9221	92	84	143	7
110	10	10376	103	95	131	5
120	10	11516	115	105	142	5
130	10	12457	124	115	181	9
140	10	13614	136	125	210	11
150	10	14523	145	136	172	6
160	10	15792	157	149	192	7
170	10	16915	169	158	290	16
180	10	18109	180	168	282	15
190	10	18986	189	178	233	10
200	10	20187	201	190	233	8
210	10	21775	217	204	376	20
220	10	22474	224	209	336	18
230	10	23508	234	220	296	13
240	10	24831	248	233	363	18
250	10	25419	254	240	332	11
260	10	26661	266	251	402	18
270	10	27711	276	264	407	18
280	10	29024	290	273	377	16
290	10	29869	298	283	377	17
300	10	31098	310	299	395	14
310	10	32756	327	307	450	23
320	10	33733	337	319	485	18
330	10	34601	345	328	434	16
340	10	35989	359	339	494	22
350	10	36643	366	350	449	16
360	10	37730	377	363	435	11
370	10	38833	388	370	485	19
380	10	39590	395	380	448	12
390	10	40960	409	389	480	16
400	10	42492	424	403	554	21
410	10	43283	432	414	502	15
420	10	44237	442	425	552	17
430	10	45460	454	433	596	24
440	10	46565	465	446	554	18
450	10	47295	472	453	566	20
460	10	48968	489	464	612	24
470	10	49854	498	475	588	20
480	10	51708	516	492	644	23
490	10	53511	535	512	643	19
500	10	53737	537	516	615	17
510	10	54855	548	524	659	20
520	10	55797	557	539	625	16
530	10	57208	571	547	720	24
540	10	57969	579	552	677	18
550	10	59302	592	570	682	19
560	10	59956	599	580	677	12
570	10	61704	616	588	759	26
580	10	63042	630	607	770	22
590	10	64132	641	618	702	17
600	10	65262	652	626	768	26
610	10	65963	659	634	753	18
620	10	67476	674	650	803	19
630	10	69068	690	666	830	23
640	10	70159	701	670	778	20
650	10	71074	710	688	799	16
660	10	72691	726	698	840	25
670	10	73855	738	711	852	20
680	10	73865	738	706	1046	39
690	10	73846	738	705	841	21
700	10	75032	750	721	838	22
710	10	76044	760	735	840	19
720	10	78054	780	749	982	27
730	10	78603	785	760	914	24
740	10	79792	797	768	936	23
750	10	83100	830	789	947	22
760	10	84597	845	814	961	25
770	10	87664	876	841	967	20
780	10	88268	882	843	995	23
790	10	88373	883	843	981	20
800	10	89677	896	865	987	19
810	10	90668	906	880	1012	24
820	10	91663	916	885	997	19
830	10	92634	926	896	1011	18
840	10	94159	941	911	1034	19
850	10	95352	953	923	1095	26
860	10	96303	962	938	1046	20
870	10	97359	973	939	1048	18
880	10	99346	993	954	1191	32
890	10	99982	999	968	1034	15
900	10	101159	1011	987	1128	18
910	10	102054	1020	984	1105	20
920	10	104469	1044	1009	1176	27
930	10	105634	1056	1024	1207	23
940	10	106383	1063	1013	1180	25
950	10	107472	1074	1041	1163	23
960	10	110294	1102	1060	1226	30
970	10	110343	1103	1058	1288	32
980	10	112009	1119	1084	1269	30
990	10	112402	1123	1081	1248	25
1000	10	113541	1135	1091	1249	23

*******************************************************

Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
10000	10	488780	4887	-984991	15841	99988
10000	20	651097	6510	6168	6775	80
10000	30	412259	4122	3992	4251	46
10000	40	295731	2957	2880	3105	44
10000	50	235820	2358	2258	2500	40
10000	60	192493	1924	1875	2057	30
10000	70	162375	1623	1574	1708	24
10000	80	139857	1398	1349	1509	31
10000	90	124692	1246	1206	1363	25
10000	100	110060	1100	1063	1234	29
10000	110	99456	994	962	1115	23
10000	120	91194	911	883	973	19
10000	130	83451	834	802	918	20
10000	140	77625	776	746	883	23
10000	150	71733	717	694	837	19
10000	160	67589	675	646	801	26
10000	170	63101	630	604	711	20
10000	180	62380	623	571	724	24
10000	190	55693	556	535	668	18
10000	200	52594	525	507	635	20
10000	210	50194	501	480	591	18
10000	220	48426	484	465	537	13
10000	230	46568	465	444	572	21
10000	240	44082	440	420	610	26
10000	250	41369	413	399	505	16
