Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
20000	10	174252	1742	-968130	32699	171412
20000	20	485769	4857	-985293	15649	100015
20000	30	926892	9268	8999	9532	119
20000	40	663843	6638	6291	6823	75
20000	50	509749	5097	5011	5276	49
20000	60	416044	4160	4080	4349	52
20000	70	352710	3526	3347	3896	79
20000	80	297348	2973	2888	3131	41
20000	90	260993	2609	2511	2713	37
20000	100	231238	2312	2243	2512	41
20000	110	207799	2077	2033	2166	27
20000	120	189942	1899	1853	2000	27
20000	130	178216	1782	1698	2307	73
20000	140	162299	1622	1573	1912	42
20000	150	150435	1504	1461	1635	28
20000	160	140016	1400	1358	1530	33
20000	170	131524	1315	1286	1410	22
20000	180	124752	1247	1205	1351	25
20000	190	116923	1169	1131	1493	41
20000	200	108738	1087	1051	1169	21
20000	210	104081	1040	1007	1146	22
20000	220	98756	987	952	1080	24
20000	230	94768	947	913	1158	35
20000	240	91358	913	887	1002	16
20000	250	87140	871	845	967	20
