Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
5000	10	659514	6594	6433	6984	81
5000	20	304741	3047	2983	3166	33
5000	30	197180	1971	1879	2063	34
5000	40	145678	1456	1373	1634	43
5000	50	111321	1113	1078	1229	22
5000	60	92568	925	894	1068	23
5000	70	79425	794	758	944	28
5000	80	68136	681	656	775	21
5000	90	59751	597	570	721	24
5000	100	53356	533	511	680	21
5000	110	48613	485	468	553	15
5000	120	44415	444	425	539	21
5000	130	41216	412	394	504	19
5000	140	38036	380	361	475	20
5000	150	35832	358	340	491	23
5000	160	33434	334	320	405	14
5000	170	31090	310	295	374	13
5000	180	29187	291	274	398	20
5000	190	28124	281	264	364	15
5000	200	26608	265	246	640	42
5000	210	24545	245	229	339	18
5000	220	23220	232	218	318	15
5000	230	22425	224	210	318	16
5000	240	20990	209	201	300	13
5000	250	20177	201	189	301	13
