*******************************************************
Search Testing Application
	Mode: sequential
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=100)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n	ns	total	average	min	max	stdev
10	10	9	0	0	1	0
20	10	8	0	0	1	0
30	10	9	0	0	1	0
40	10	10	0	0	1	0
50	10	11	0	0	1	0
60	10	13	0	0	1	0
70	10	14	0	0	1	0
80	10	14	0	0	1	0
90	10	16	0	0	1	0
100	10	16	0	0	1	0
110	10	19	0	0	1	0
120	10	18	0	0	1	0
130	10	20	0	0	1	0
140	10	22	0	0	1	0
150	10	26	0	0	4	0
160	10	24	0	0	1	0
170	10	24	0	0	1	0
180	10	24	0	0	1	0
190	10	26	0	0	1	0
200	10	28	0	0	1	0
210	10	28	0	0	1	0
220	10	31	0	0	1	0
230	10	31	0	0	1	0
240	10	32	0	0	1	0
250	10	34	0	0	1	0
260	10	35	0	0	1	0
270	10	35	0	0	1	0
280	10	37	0	0	1	0
290	10	40	0	0	1	0
300	10	40	0	0	1	0
310	10	37	0	0	1	0
320	10	39	0	0	1	0
330	10	40	0	0	1	0
340	10	42	0	0	1	0
350	10	43	0	0	1	0
360	10	43	0	0	1	0
370	10	44	0	0	1	0
380	10	47	0	0	1	0
390	10	45	0	0	1	0
400	10	55	0	0	6	0
410	10	50	0	0	1	0
420	10	50	0	0	1	0
430	10	51	0	0	1	0
440	10	54	0	0	1	0
450	10	55	0	0	1	0
460	10	50	0	0	1	0
470	10	57	0	0	1	0
480	10	59	0	0	2	0
490	10	59	0	0	1	0
500	10	60	0	0	1	0
510	10	60	0	0	1	0
520	10	64	0	0	2	0
530	10	67	0	0	1	0
540	10	65	0	0	1	0
550	10	65	0	0	2	0
560	10	72	0	0	4	0
570	10	72	0	0	2	0
580	10	62	0	0	2	0
590	10	69	0	0	2	0
600	10	69	0	0	2	0
610	10	74	0	0	2	0
620	10	67	0	0	2	0
630	10	75	0	0	2	0
640	10	76	0	0	2	0
650	10	76	0	0	2	0
660	10	76	0	0	2	0
670	10	75	0	0	2	0
680	10	86	0	0	4	1
690	10	81	0	0	2	1
700	10	79	0	0	2	0
710	10	79	0	0	2	0
720	10	82	0	0	2	1
730	10	87	0	0	2	1
740	10	86	0	0	2	1
750	10	90	0	0	2	1
760	10	86	0	0	2	1
770	10	92	0	0	2	1
780	10	94	0	0	2	1
790	10	96	0	0	2	1
800	10	92	0	0	2	1
810	10	99	0	0	2	1
820	10	91	0	0	2	1
830	10	96	0	0	2	1
840	10	95	0	0	2	1
850	10	105	1	0	2	0
860	10	105	1	0	2	0
870	10	97	0	0	2	1
880	10	108	1	0	4	0
890	10	105	1	0	2	0
900	10	106	1	0	2	0
910	10	104	1	0	2	0
920	10	103	0	0	2	1
930	10	109	1	0	2	0
940	10	103	1	0	2	0
950	10	97	0	0	2	1
960	10	103	0	0	4	1
970	10	109	1	0	3	0
980	10	113	1	0	2	0
990	10	111	1	0	3	0
1000	10	118	1	0	13	1

*******************************************************

Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
1000	10	109	1	0	2	0
1000	20	103	0	0	2	1
1000	30	108	1	0	2	0
1000	40	112	1	0	2	0
1000	50	122	1	0	5	0
1000	60	112	1	0	3	0
1000	70	111	1	0	3	0
1000	80	109	1	0	2	0
1000	90	110	1	0	3	0
1000	100	110	1	0	2	0
1000	110	107	1	0	2	0
1000	120	109	1	0	3	0
1000	130	113	1	0	3	0
1000	140	115	1	0	4	0
1000	150	115	1	0	2	0
1000	160	107	1	0	2	0
1000	170	124	1	0	2	0
1000	180	111	1	0	3	0
1000	190	114	1	0	3	0
1000	200	111	1	0	2	0
1000	210	114	1	0	2	0
1000	220	118	1	0	4	0
1000	230	112	1	0	3	0
1000	240	111	1	0	2	0
1000	250	109	1	0	2	0
