*******************************************************
Search Testing Application
	Mode: thread
*******************************************************

Test 1: Functionality Verification
    --(n=1000, ns=100)-->
        Pass! Stress tests can begin!

*******************************************************

Test 2: Trend Analysis - Varying Size
n	ns	total	average	min	max	stdev
10	75	1443	14	13	29	2
20	75	1414	14	13	20	0
30	75	1490	14	13	55	4
40	75	1405	14	13	16	0
50	75	1538	15	13	134	12
60	75	1415	14	13	17	0
70	75	1462	14	14	37	2
80	75	1887	18	15	50	3
90	75	1998	19	15	88	7
100	75	1928	19	15	49	4
110	75	1894	18	16	22	1
120	75	2001	19	16	112	9
130	75	1907	19	16	21	0
140	75	1991	19	16	118	9
150	75	1951	19	16	58	3
160	75	2422	24	19	57	4
170	75	2424	24	20	115	9
180	75	2346	23	20	48	3
190	75	2346	23	21	35	1
200	75	2450	24	20	130	10
210	75	2347	23	20	52	3
220	75	2361	23	20	60	4
230	75	3094	30	27	39	2
240	75	3336	33	27	111	10
250	75	3206	31	29	53	3
260	75	3208	32	28	70	4
270	75	3361	33	29	129	12
280	75	3293	32	29	100	7
290	75	3353	33	29	108	9
300	75	3288	32	28	120	8
310	75	5435	54	44	140	11
320	75	5303	52	43	130	10
330	75	5362	53	44	141	11
340	75	5291	52	43	139	9
350	75	5199	51	43	156	11
360	75	5274	52	43	112	8
370	75	5196	51	43	130	8
380	75	6812	67	55	177	12
390	75	6785	67	56	78	5
400	75	6961	69	55	153	13
410	75	6984	69	55	167	12
420	75	6949	69	55	150	10
430	75	6713	67	55	84	5
440	75	6892	68	56	103	5
450	75	6994	69	56	214	15
460	75	8230	82	71	113	7
470	75	7936	79	69	143	9
480	75	7897	78	68	120	6
490	75	8023	80	71	174	13
500	75	7941	79	70	135	8
510	75	7958	79	70	148	11
520	75	8009	80	67	158	9
530	75	9690	96	84	166	12
540	75	9631	96	80	153	9
550	75	9557	95	82	162	10
560	75	9730	97	82	184	13
570	75	9700	96	82	208	13
580	75	9522	95	80	140	8
590	75	9474	94	79	144	8
600	75	9385	93	84	133	7
610	75	10990	109	95	159	7
620	75	10992	109	92	174	11
630	75	10850	108	97	133	6
640	75	10954	109	98	175	10
650	75	11050	110	98	193	10
660	75	10968	109	97	168	10
670	75	10953	109	94	140	6
680	75	12272	122	109	149	8
690	75	12522	125	106	159	9
700	75	12513	125	107	177	11
710	75	12542	125	106	151	7
720	75	12694	126	109	160	7
730	75	12768	127	110	256	15
740	75	12548	125	110	155	7
750	75	12710	126	110	238	15
760	75	14069	140	125	187	7
770	75	14178	141	128	196	11
780	75	14080	140	127	171	8
790	75	14041	140	128	183	8
800	75	14251	142	125	184	8
810	75	14233	142	129	191	9
820	75	14495	144	128	276	16
830	75	15670	156	142	239	15
840	75	16247	162	142	248	17
850	75	17437	174	144	241	19
860	75	16507	164	139	271	22
870	75	15270	152	139	185	7
880	75	15337	153	139	255	12
890	75	15133	151	138	192	8
900	75	15054	150	141	218	10
910	75	18461	184	152	266	21
920	75	18692	186	157	272	20
930	75	18663	186	151	242	19
940	75	18892	188	151	296	25
950	75	17435	174	157	241	16
960	75	16817	168	157	211	9
970	75	16656	166	153	195	7
980	75	18095	180	167	240	11
990	75	18537	185	169	248	10
1000	75	18634	186	167	254	12

*******************************************************

Test 3: Trend Analysis - Varying Splits
n	ns	total	average	min	max	stdev
1000	10	157985	1579	1524	1726	42
1000	20	76632	766	702	853	31
1000	30	51083	510	460	621	30
1000	40	37486	374	343	438	20
1000	50	30123	301	270	411	24
1000	60	24210	241	205	373	25
1000	70	19729	197	180	277	15
1000	80	17375	173	151	248	17
1000	90	15606	155	138	209	13
1000	100	12628	126	111	227	14
1000	110	12282	122	110	163	7
1000	120	10906	108	94	187	10
1000	130	9632	96	85	146	10
1000	140	9687	96	83	178	11
1000	150	7995	79	66	137	9
1000	160	7993	79	69	119	6
1000	170	6417	64	55	113	8
1000	180	6592	65	55	154	12
1000	190	6604	65	56	131	10
1000	200	5302	52	49	138	8
1000	210	5355	53	49	153	11
1000	220	5383	53	49	133	8
1000	230	5495	54	49	141	12
1000	240	5398	53	49	172	15
1000	250	3275	32	28	85	6
